X,Y,OBJECTID,FIRE_STN_NAME,FIRE_STN_CODE,FIRE_STN_CLASS
2064181.79,-4019076.72,1,EPPING,EPG,COMMUNITY STATION
2069779.0315,-4034641.7956,2,MITCHELLS PLAIN,MPN,DIVISIONAL HQ
2046817.6907,-4017942.9363,3,SEA POINT,SPT,COMMUNITY STATION
2051075.5062,-4019849.15,4,ROELAND STREET,RDS,DISTRICT HQ - WEST
2055112.3224,-4020121.9104,5,SALT RIVER,SLR,COMMUNITY STATION
2057013.2935,-4029310.4933,6,WYNBERG,WBG,COMMUNITY STATION
2054704.5958,-4040487.4525,7,LAKESIDE,LKE,DIVISIONAL HQ
2061796.0605,-4031013.261,8,OTTERY,OTY,DIVISIONAL HQ
2052998.6121,-4031629.7116,9,CONSTANTIA,CTA,COMMUNITY STATION
2074789.1198,-4016124.3896,10,BELLVILLE,BVL,DISTRICT HQ - NORTH
2061351.2251,-4009001.6509,11,MILNERTON,MIL,DIVISIONAL HQ
2066442.562,-4014730.3754,12,GOODWOOD,GWD,FIRE SERVICE HEAD OFFICE
2076362.7798,-4006516.753,13,DURBANVILLE,DBV,COMMUNITY STATION
2079713.7166,-4020340.0016,14,KUILSRIVER,KLR,COMMUNITY STATION
2082218.7418,-4007592.6336,15,KRAAIFONTEIN,KFN,COMMUNITY STATION
2097623.027,-4040348.1497,16,SOMERSET WEST,SWT,COMMUNITY STATION
2051152.4319,-4047178.8414,17,FISH HOEK,FHK,COMMUNITY STATION
2097807.9618,-4044544.8683,18,STRAND,SND,DISTRICT HQ - EAST
2051008.9398,-4053440.903,19,SIMONSTOWN,STN,COMMUNITY STATION
2057767.6415,-3973216.0104,20,ATLANTIS,ATS,COMMUNITY STATION
2057244.3444,-4017523.7765,21,BROOKLYN,BKN,COMMUNITY STATION
2066746.0808,-4028953.8274,22,GUGULETU,GTU,COMMUNITY STATION
2080286.6522,-4029159.3842,23,MFULENI,MFU,COMMUNITY STATION
2079618.4221,-4035142.2817,24,KHAYELITSHA,KHA,COMMUNITY STATION
2074482.2567,-4022343.6922,25,BELHAR,BHR,DIVISIONAL HQ
2076475.076,-4030895.5104,26,LANSDOWNE ROAD,LSD,COMMUNITY STATION
2088783.1477,-4037144.8079,27,MACASSAR,MCR,COMMUNITY STATION
2043496.8272,-4033003.6757,28,HOUT BAY,HTB,COMMUNITY STATION
2082512.6124,-4012435.3827,29,BRACKENFELL,BFL,COMMUNITY STATION
2053299.1396,-3992899.4629,30,MELKBOSSTRAND,MKS,COMMUNITY STATION
2045841.3848,-4046858.0063,31,KOMMETJIE ROAD ,MSP,COMMUNITY STATION
2101527.6104,-4043122.933,32,SIR LOWRYS PASS,SLP,COMMUNITY STATION
